date,currency_code,name,local_price,dollar_ex,dollar_price
2000-04-01,ARS,Argentina,2.5,1.0,2.5
2000-04-01,AUD,Australia,2.59,1.68,15.416.666.666.666.600
2000-04-01,BRL,Brazil,2.95,1.79,164.804.469.273.743
2000-04-01,CAD,Canada,2.85,1.47,193.877.551.020.408
2000-04-01,CHF,Switzerland,5.9,1.7,34.705.882.352.941.200
2000-04-01,CLP,Chile,1260.0,514.0,245.136.186.770.428
2000-04-01,CNY,China,9.9,8.28,119.565.217.391.304
2000-04-01,CZK,Czech Republic,54.37,39.1,139.053.708.439.898
2000-04-01,DKK,Denmark,24.75,08.04,307.835.820.895.522
2000-04-01,EUR,Euro area,2.56,1.075.268.817,238.080.000.045.235
2000-04-01,GBP,Britain,1.9,632.911.392,30.020.000.019.212.800
2000-04-01,HKD,Hong Kong,10.2,7.79,130.937.098.844.673
2000-04-01,HUF,Hungary,339.0,279.0,121.505.376.344.086
2000-04-01,IDR,Indonesia,14500.0,7945.0,182.504.719.949.654
2000-04-01,ILS,Israel,14.5,04.05,358.024.691.358.025
2000-04-01,JPY,Japan,294.0,106.0,277.358.490.566.038
2000-04-01,KRW,South Korea,3000.0,1108.0,270.758.122.743.682
2000-04-01,MXN,Mexico,20.9,9.41,22.210.414.452.709.900
2000-04-01,MYR,Malaysia,4.52,3.8,118.947.368.421.053
2000-04-01,NZD,New Zealand,3.4,02.01,169.154.228.855.721
2000-04-01,PLN,Poland,5.5,4.3,127.906.976.744.186
2000-04-01,RUB,Russia,39.5,28.5,13.859.649.122.806.900
2000-04-01,SGD,Singapore,3.2,1.7,188.235.294.117.647
2000-04-01,SEK,Sweden,24.0,8.84,27.149.321.266.968.200
2000-04-01,THB,Thailand,55.0,38.0,14.473.684.210.526.200
2000-04-01,TWD,Taiwan,70.0,30.6,228.758.169.934.641
2000-04-01,USD,United States,2.51,1.0,2.51
2000-04-01,ZAR,South Africa,9.0,6.72,133.928.571.428.571
2001-04-01,ARS,Argentina,2.5,1.0,2.5
2001-04-01,AUD,Australia,3.0,1.98,151.515.151.515.152
2001-04-01,BRL,Brazil,3.6,2.19,16.438.356.164.383.600
2001-04-01,CAD,Canada,3.33,1.56,21.346.153.846.153.700
2001-04-01,CHF,Switzerland,6.3,1.73,364.161.849.710.983
2001-04-01,CLP,Chile,1260.0,601.0,209.650.582.362.729
2001-04-01,CNY,China,9.9,8.28,119.565.217.391.304
2001-04-01,CZK,Czech Republic,56.0,39.0,14.358.974.358.974.400
2001-04-01,DKK,Denmark,24.75,8.46,292.553.191.489.362
2001-04-01,EUR,Euro area,2.57,1.136.363.636,226.160.000.072.371
2001-04-01,GBP,Britain,1.99,699.300.699,284.570.000.122.365
2001-04-01,HKD,Hong Kong,10.7,7.8,13.717.948.717.948.700
2001-04-01,HUF,Hungary,399.0,303.0,131.683.168.316.832
2001-04-01,IDR,Indonesia,14700.0,10855.0,135.421.464.762.782
2001-04-01,JPY,Japan,294.0,124.0,237.096.774.193.548
2001-04-01,KRW,South Korea,3000.0,1325.0,226.415.094.339.623
2001-04-01,MXN,Mexico,21.9,9.29,235.737.351.991.389
2001-04-01,MYR,Malaysia,4.52,3.8,118.947.368.421.053
2001-04-01,NZD,New Zealand,3.6,2.47,14.574.898.785.425.000
2001-04-01,PHP,Philippines,59.0,50.3,117.296.222.664.016
