Wine_No;Wine;BRANCO_91;TINTO_91;BRANCO_92;TINTO_92;BRANCO_93;TINTO_93;BRANCO_94;TINTO_95;BRANCO_96;TINTO_96;BRANCO_97;TINTO_97;BRANCO_98;TINTO_98;BRANCO_99;TINTO_99
1; AMARANTE                  ;9.384.586;5.589.997;6.274.141;3.158.556;4.638.903;1.737.103;10.220.935;3.515.503;7.361.699;3.341.817;9.767.795;3.967.293;2.993.953;1.200.506;3.561.823;1.471.991
2; AMARES                    ;692.627;1.108.743;603.590;639.570;1.318.499;310.459;1.656.282;743.314;1.114.088;562.730;1.446.000;957.130;631.020;266.060;1.556.420;377.580
3; ARCOS DE VALDEVEZ         ;123.910;4.358.522;90.005;1.893.070;51.568;1.144.503;120.422;2.358.884;98.709;1.704.120;146.925;2.619.910;24.141;483.297;28.505;585.668
4; AROUCA                    ;326.880;742.570;186.530;353.610;119.829;173.189;210.515;435.335;268.615;380.450;294.985;399.668;91.010;105.630;83.235;91.230
5; BAIAO                     ;5.185.397;1.975.692;4.430.023;1.190.585;3.848.321;804.593;6.568.629;872.162;5.324.270;819.944;5.701.031;1.187.165;2.170.606;385.318;3.828.730;387.407
6; BARCELOS                  ;5.328.897;7.465.708;3.508.312;4.519.042;2.514.751;2.889.694;3.602.329;4.523.874;4.008.258;3.376.601;5.546.566;4.196.016;1.789.848;1.583.897;1.633.553;1.086.480
7; BRAGA                     ;851.314;2.743.938;618.835;1.429.194;658.323;604.250;994.854;1.149.260;911.269;1.069.294;1.473.480;1.500.315;331.701;463.648;656.065;359.470
8; CABECEIRAS DE BASTO       ;390.890;1.783.830;290.960;886.020;337.121;1.175.081;601.120;1.888.412;430.635;1.451.108;722.026;1.790.233;250.360;664.275;419.305;1.117.293
9; CAMINHA                   ;140.145;437.415;76.661;243.628;29.825;63.320;70.625;166.005;48.000;98.465;61.800;120.720;14.485;38.310;4.600;9.670
10; CASTELO DE PAIVA          ;859.805;1.466.161;580.070;1.034.790;242.027;345.435;573.712;898.072;734.900;889.913;959.711;1.007.340;304.945;310.545;385.475;381.152
11; CELORICO DE BASTO         ;4.006.845;3.279.995;2.385.220;1.695.224;2.423.236;1.693.755;3.881.516;2.581.446;2.858.555;1.776.850;3.685.310;2.650.421;1.518.930;729.460;1.775.350;965.840
12; CINFAES                   ;855.855;1.191.124;614.735;663.115;396.773;335.479;665.067;627.317;817.701;668.221;753.373;797.086;248.832;255.783;283.320;241.403
13; ESPOSENDE                 ;204.330;409.045;134.990;181.540;69.540;96.420;83.450;142.650;80.410;101.200;124.970;100.350;42.120;44.450;37.900;13.070
14; FAFE                      ;375.704;2.623.324;244.303;993.664;191.526;577.393;197.865;1.004.152;195.802;599.100;364.749;1.537.934;119.113;384.768;146.985;402.354
15; FELGUEIRAS                ;11.834.292;4.798.930;6.887.279;2.479.075;6.295.544;1.654.631;11.455.943;2.813.656;9.060.846;2.070.535;13.256.088;3.502.845;3.222.880;938.073;4.456.554;1.275.913
16; GONDOMAR                  ;2.458.790;319.425;1.663.705;199.302;1.121.679;70.134;1.581.070;124.270;1.644.655;131.980;1.698.820;116.190;863.049;57.260;669.630;30.390
17; GUIMARAES                 ;1.855.034;6.939.766;1.226.739;3.019.638;992.646;1.685.301;1.278.221;2.595.516;1.651.290;2.236.097;2.308.936;3.239.534;842.174;1.042.913;938.115;934.453
18; LOUSADA                   ;4.311.581;3.440.825;2.715.767;2.170.150;1.708.680;993.956;3.277.449;2.059.457;2.638.792;1.371.948;4.742.602;2.592.381;926.621;459.528;1.471.273;722.550
19; MAIA                      ;379.731;408.890;256.040;233.095;174.541;77.968;228.445;127.505;228.210;114.265;234.575;124.500;120.384;67.380;66.965;25.520
20; MARCO DE CANAVESES        ;2.445.006;3.720.340;1.462.320;1.993.195;1.602.790;1.237.080;2.570.180;2.245.975;3.417.826;2.305.880;3.268.695;2.509.305;1.047.272;758.939;1.463.970;952.940
21; MATOSINHOS                ;49.405;68.800;25.545;41.975;7.790;9.600;17.450;12.180;11.370;16.600;21.750;14.350;12.780;8.530;2.820;1.170
22; MELGACO                   ;309.505;1.501.445;209.516;647.610;121.573;316.387;408.133;976.245;610.365;1.036.014;656.025;1.137.805;290.278;255.026;336.900;282.880
23; MONCAO                    ;1.660.415;3.708.830;1.108.533;1.871.542;749.731;660.475;1.709.126;1.933.647;1.346.268;1.354.082;2.926.715;3.675.317;1.303.260;912.827;1.249.712;935.611
